Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,score
34,male,2,own,little,moderate,5800,36,car,800
30,male,3,own,little,moderate,5965,27,car,516
28,female,2,own,quite rich,None,1376,24,radio/TV,660
34,male,2,own,little,moderate,2415,7,radio/TV,403
25,female,2,own,little,little,1835,21,radio/TV,710
19,female,2,rent,little,None,1980,9,furniture/equipment,443
36,male,1,own,little,little,1374,6,furniture/equipment,505
32,male,2,own,little,little,1938,24,radio/TV,780
20,male,2,own,moderate,little,674,12,radio/TV,799
35,male,2,own,little,None,2346,24,car,568
32,male,1,own,little,moderate,1301,18,radio/TV,800
38,male,2,own,moderate,moderate,3512,24,car,820
27,female,2,own,little,None,1185,12,business,557
53,male,2,free,little,little,4870,24,car,705
52,male,2,own,quite rich,little,338,6,radio/TV,839
62,male,2,own,quite rich,None,1338,6,domestic appliances,406
24,male,2,own,little,rich,3016,12,radio/TV,429
27,male,2,own,little,little,3552,24,furniture/equipment,780
35,female,2,free,quite rich,None,5324,15,car,385
26,male,1,own,little,moderate,590,6,radio/TV,800
45,male,1,own,None,None,1287,10,car,495
35,male,2,own,quite rich,None,2397,24,radio/TV,680
35,female,1,own,little,little,10722,47,car,505
29,female,0,rent,little,little,1193,24,car,700
24,female,2,rent,little,little,652,12,furniture/equipment,689
35,male,3,own,little,None,2670,24,car,580
36,male,2,own,rich,moderate,1913,18,business,840
39,male,1,own,little,None,426,6,radio/TV,568
35,male,2,own,quite rich,little,1680,12,radio/TV,840
28,male,1,own,little,moderate,484,6,radio/TV,800
23,male,2,own,little,rich,3913,36,radio/TV,819
24,female,2,rent,little,little,1207,24,car,689
50,male,2,own,rich,None,3777,24,furniture/equipment,591
36,female,2,own,little,None,1028,18,car,557
39,male,1,rent,little,little,2122,12,car,700
28,male,2,own,little,little,1108,12,repairs,780
33,male,1,own,moderate,little,727,12,radio/TV,800
27,male,2,own,moderate,moderate,1995,12,car,820
36,male,2,free,None,None,700,6,radio/TV,490
42,male,3,own,moderate,moderate,8086,36,car,490
22,female,2,rent,little,little,3632,24,car,689
23,female,2,rent,little,little,1216,18,car,689
23,female,2,own,little,little,448,6,education,709
30,male,3,own,little,None,1820,18,car,580
24,male,1,rent,little,None,1768,12,furniture/equipment,545
22,male,2,own,quite rich,little,2483,24,furniture/equipment,839
34,male,3,own,little,rich,1337,9,radio/TV,840
26,male,2,own,little,None,5117,27,business,568
35,male,1,own,little,None,2684,24,radio/TV,568
27,male,1,own,little,None,2708,15,furniture/equipment,568
29,male,1,own,little,little,3590,12,furniture/equipment,426
38,male,1,own,little,None,1495,12,car,568
24,female,2,rent,None,little,1275,15,domestic appliances,503
26,female,2,own,little,None,3181,24,radio/TV,557
39,male,3,free,little,little,3249,36,car,780
42,male,2,own,little,little,2577,12,furniture/equipment,508
53,male,2,own,None,None,2424,24,radio/TV,495
39,male,2,own,None,little,2212,20,furniture/equipment,513
23,female,2,own,little,rich,1275,10,furniture/equipment,799
25,female,1,own,little,moderate,4736,24,furniture/equipment,780
41,male,1,own,little,little,662,6,car,719
27,male,2,own,moderate,None,2463,24,car,580
27,female,2,own,little,None,3609,48,business,557
31,male,3,own,little,None,2406,9,furniture/equipment,404
29,female,3,own,little,None,1412,12,business,568
23,female,1,own,moderate,moderate,836,12,car,799
64,male,1,rent,little,little,2384,24,radio/TV,407
45,male,3,own,None,None,3527,12,car,337
36,male,3,free,little,little,5302,18,car,432
21,female,2,own,moderate,None,10144,60,radio/TV,568
24,female,2,own,little,moderate,1237,8,furniture/equipment,719
42,male,1,own,little,None,1455,4,car,348
28,male,1,own,little,little,654,9,car,780
32,male,2,own,little,little,4583,30,furniture/equipment,780
20,male,3,rent,little,little,1107,12,radio/TV,709
39,male,3,rent,little,little,3345,24,furniture/equipment,710
49,female,2,own,little,little,428,6,furniture/equipment,709
35,male,2,own,little,moderate,2576,7,radio/TV,401
22,female,2,own,little,moderate,5951,48,radio/TV,719
28,female,2,rent,moderate,moderate,2631,15,car,710
36,female,1,own,rich,None,1572,21,business,580
28,female,2,own,moderate,moderate,2278,18,car,800
37,male,2,own,little,rich,1225,10,domestic appliances,820
55,female,0,free,little,little,1190,18,repairs,404
26,male,1,own,moderate,None,4272,30,business,580
50,male,2,free,little,moderate,6224,48,education,719
32,male,2,own,little,None,1530,18,car,568
48,male,1,own,little,moderate,1743,24,radio/TV,799
30,male,3,own,moderate,little,2249,18,car,820
47,male,2,own,little,moderate,2353,21,car,799
46,male,1,rent,None,None,730,7,radio/TV,486
29,male,2,own,little,moderate,1103,12,radio/TV,800
24,male,2,own,little,rich,5848,36,radio/TV,819
33,male,2,own,little,moderate,1245,18,radio/TV,800
50,male,3,free,little,little,7476,48,education,719
50,male,2,own,little,None,1574,12,furniture/equipment,568
50,female,2,free,moderate,moderate,2671,36,radio/TV,719
35,male,3,own,little,None,7253,33,car,488
35,male,2,free,None,None,8858,48,car,490
47,male,2,own,little,None,3422,18,furniture/equipment,568
51,male,2,free,little,rich,2892,24,furniture/equipment,799
45,male,3,own,moderate,None,8588,39,car,453
33,female,1,own,None,moderate,3195,9,car,367
54,female,0,own,little,None,672,6,car,568
30,male,2,own,None,moderate,2028,12,car,540
20,female,2,rent,little,little,2039,18,furniture/equipment,689
66,male,3,free,little,little,1526,12,car,447
44,male,2,free,quite rich,None,10127,48,car,494
24,female,1,own,little,little,1228,12,car,709
38,male,3,own,rich,None,5711,36,car,680
25,female,2,own,little,little,3509,18,radio/TV,710
55,male,3,free,little,moderate,9283,42,car,476
27,male,2,own,None,moderate,3711,36,education,540
35,male,2,own,None,moderate,2728,15,radio/TV,540
60,male,2,free,little,None,2032,24,car,391
36,male,2,own,None,None,6742,30,radio/TV,406
65,male,0,own,little,little,3394,42,repairs,405
43,male,1,own,little,little,1344,12,car,719
35,male,2,own,little,little,691,12,car,780
49,male,2,own,little,little,1038,10,car,719
27,male,1,own,little,little,1168,12,car,780
28,male,2,own,moderate,rich,1323,6,car,547
67,male,2,own,None,little,1169,6,radio/TV,481
28,male,2,own,little,moderate,1068,6,radio/TV,800
46,male,2,free,little,little,6331,48,car,709
30,male,2,free,quite rich,little,3349,24,furniture/equipment,820
37,male,2,own,moderate,moderate,3878,24,car,820
27,male,3,free,little,little,1422,9,car,780
36,male,2,own,little,moderate,884,18,car,800
27,male,1,own,little,None,937,24,education,568
35,male,2,rent,little,moderate,1919,9,furniture/equipment,566
23,female,2,own,quite rich,little,4281,33,furniture/equipment,819
26,male,2,own,moderate,None,1311,24,radio/TV,580
26,female,2,own,little,moderate,9960,48,furniture/equipment,682
44,male,2,own,little,little,1478,15,furniture/equipment,719
36,male,2,own,quite rich,rich,2360,15,car,880
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,710
39,male,1,own,little,None,7228,11,car,318
31,female,1,own,little,None,1736,12,furniture/equipment,557
39,male,1,own,moderate,moderate,1037,12,business,820
25,female,2,own,None,None,2394,36,radio/TV,490
29,female,2,rent,rich,moderate,7758,24,car,406
36,male,2,own,little,moderate,3915,27,business,800
61,male,2,own,rich,moderate,1512,15,repairs,421
24,female,2,rent,rich,moderate,433,6,education,719
26,male,2,own,little,moderate,1201,24,car,800
24,male,2,own,moderate,moderate,5595,72,radio/TV,819
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,820
32,female,1,own,moderate,little,1282,24,radio/TV,780
41,male,2,own,little,rich,2116,6,furniture/equipment,386
25,male,2,rent,moderate,moderate,1264,15,car,780
29,male,3,own,little,moderate,11328,24,vacation/others,390
33,male,2,own,little,None,3029,15,car,568
30,female,2,own,little,None,1055,18,car,557
30,female,2,own,quite rich,moderate,8358,48,car,840
30,male,3,rent,little,moderate,2063,6,radio/TV,404
30,male,2,own,little,moderate,639,12,repairs,800
20,male,2,rent,None,rich,3617,24,furniture/equipment,513
53,female,2,own,little,little,795,12,education,709
40,male,3,own,little,moderate,4297,18,furniture/equipment,457
39,male,2,own,little,little,2522,30,radio/TV,780
38,male,2,own,little,None,5954,30,radio/TV,568
24,female,2,own,little,None,2788,15,furniture/equipment,556
24,female,2,free,little,moderate,5743,24,education,452
42,male,2,own,little,None,3331,12,furniture/equipment,385
25,male,2,own,None,moderate,1484,12,radio/TV,540
63,male,3,free,None,None,13756,60,car,382
36,male,2,own,little,moderate,2337,36,radio/TV,800
35,male,2,own,moderate,None,2753,9,radio/TV,396
74,male,3,own,little,None,4526,24,business,489
33,male,2,own,moderate,little,2359,24,furniture/equipment,800
43,male,2,free,little,little,1333,24,car,709
27,male,2,own,rich,None,5804,24,car,441
29,female,2,own,little,rich,683,6,radio/TV,800
26,female,3,own,little,None,10974,36,furniture/equipment,396
30,male,3,own,moderate,moderate,1919,30,radio/TV,840
27,male,2,own,little,little,4020,24,furniture/equipment,780
45,male,2,own,little,little,2303,24,car,719
52,female,1,own,moderate,None,362,6,car,568
24,female,1,rent,moderate,None,11590,48,car,401
65,male,2,own,little,little,571,21,car,400
26,male,2,rent,little,rich,2687,15,business,780
42,female,3,free,little,moderate,8318,27,business,396
46,male,3,own,None,None,2476,21,car,499
37,male,2,own,little,moderate,802,15,radio/TV,800
74,male,0,own,little,rich,1299,6,car,493
47,male,1,own,little,little,731,8,car,719
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,709
34,male,2,own,little,None,2320,18,radio/TV,568
45,male,1,own,little,little,4006,28,car,719
19,female,1,rent,rich,moderate,983,12,furniture/equipment,719
74,male,1,own,little,None,3448,5,business,300
25,female,1,own,little,moderate,1355,24,car,780
24,male,1,own,None,little,3763,21,car,513
45,male,3,own,little,None,6761,6,car,300
40,male,3,own,moderate,None,4623,15,education,372
54,male,2,own,little,little,3051,48,domestic appliances,719
47,male,2,own,little,None,1393,12,education,568
50,male,2,own,None,None,2390,12,car,494
23,female,2,own,moderate,None,3488,24,car,568
23,male,2,rent,little,little,4110,24,furniture/equipment,699
22,male,2,free,little,little,3973,14,car,401
34,male,1,own,moderate,None,1743,6,business,399
21,male,1,own,little,little,1289,12,furniture/equipment,719
49,male,2,free,None,little,2964,24,car,509
40,male,2,own,little,None,1585,24,furniture/equipment,568
25,female,2,rent,None,None,1283,22,car,482
25,female,2,rent,little,moderate,1295,12,car,700
36,male,3,free,None,moderate,12169,48,car,401
37,male,1,own,little,moderate,2118,9,radio/TV,499
64,female,2,own,moderate,None,1409,13,radio/TV,397
29,female,1,rent,quite rich,None,1123,12,furniture/equipment,568
23,male,2,own,little,moderate,882,13,radio/TV,799
26,female,0,own,little,rich,609,12,business,820
32,male,2,rent,quite rich,None,3062,24,furniture/equipment,580
32,female,1,own,moderate,moderate,931,6,car,800
24,male,2,own,quite rich,None,2080,6,car,356
40,male,0,own,little,moderate,3590,18,business,817
57,male,3,free,little,moderate,14318,36,car,355
29,female,2,own,None,little,915,24,car,509
35,male,2,own,None,None,1979,15,radio/TV,495
60,male,3,own,None,moderate,6468,20,car,300
46,male,2,own,rich,None,1149,18,radio/TV,591
34,male,2,own,moderate,moderate,2622,18,business,820
38,male,3,own,None,None,3229,18,car,499
34,female,3,own,little,moderate,2064,24,furniture/equipment,800
27,male,2,own,little,little,1657,12,furniture/equipment,780
23,male,2,own,None,moderate,1444,15,radio/TV,516
50,male,2,own,None,moderate,1537,15,radio/TV,516
31,female,3,own,quite rich,None,2782,21,car,680
26,male,2,own,little,little,4788,48,car,780
24,female,2,rent,little,None,1554,6,radio/TV,393
75,female,3,own,None,little,1374,6,car,392
49,male,1,own,None,rich,1445,18,radio/TV,557
24,male,2,own,little,little,9629,36,car,405
31,male,2,own,moderate,None,5742,36,business,580
27,female,2,rent,None,moderate,1924,18,furniture/equipment,506
43,male,3,own,little,little,2442,27,business,799
24,female,2,own,None,None,874,15,domestic appliances,490
41,male,2,own,None,None,3160,21,radio/TV,495
26,male,2,own,little,None,1934,12,radio/TV,568
25,male,1,own,little,little,1138,9,radio/TV,780
38,female,2,own,None,None,1240,12,radio/TV,490
27,female,2,own,little,moderate,1295,18,furniture/equipment,780
29,male,1,own,None,moderate,2333,24,furniture/equipment,540
28,female,2,rent,little,little,1403,15,car,690
30,male,3,own,little,little,3959,36,furniture/equipment,800
27,male,1,own,None,None,1309,10,car,495
31,male,2,own,None,little,6350,30,furniture/equipment,486
26,male,2,own,little,little,1345,18,radio/TV,780
33,male,2,own,little,None,5150,24,furniture/equipment,498
30,female,2,own,rich,None,960,15,furniture/equipment,580
65,female,0,own,little,None,1098,18,radio/TV,386
26,female,2,own,None,moderate,1715,30,radio/TV,513
44,male,3,rent,little,little,3384,6,furniture/equipment,340
23,male,0,own,None,moderate,14555,6,car,300
23,female,2,rent,little,None,2146,10,furniture/equipment,467
42,male,2,own,None,moderate,2427,18,business,516
59,male,2,own,little,little,1364,9,radio/TV,474
37,male,2,rent,little,little,3676,6,car,374
33,male,2,rent,little,rich,2319,21,education,780
38,male,2,own,little,None,1924,10,radio/TV,568
26,female,3,rent,None,None,5433,24,car,404
24,female,1,rent,None,None,4811,30,car,481
28,female,3,rent,little,little,2606,21,radio/TV,700
31,male,1,own,little,None,1546,10,car,568
37,female,2,own,little,moderate,3612,18,furniture/equipment,780
23,female,1,rent,little,little,6229,36,furniture/equipment,689
27,male,2,own,moderate,moderate,4576,45,car,820
22,female,2,own,moderate,little,741,12,domestic appliances,719
64,male,1,own,None,None,3832,9,education,300
42,male,2,own,little,little,3446,36,furniture/equipment,719
24,male,1,own,little,little,1747,24,furniture/equipment,719
51,female,2,own,moderate,None,682,12,car,568
68,male,2,rent,None,None,6761,18,car,300
36,male,3,own,quite rich,moderate,2366,12,car,880
20,female,2,rent,quite rich,None,2221,15,furniture/equipment,568
23,male,1,rent,quite rich,None,660,6,repairs,579
22,male,2,own,little,None,1478,9,radio/TV,568
48,female,1,free,moderate,rich,1240,10,car,799
43,male,2,own,None,None,4042,24,car,495
29,female,2,own,little,little,3959,15,car,465
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,481
42,male,1,own,little,None,1503,4,radio/TV,342
26,female,2,rent,little,None,1388,9,furniture/equipment,515
26,male,2,own,little,rich,1925,24,furniture/equipment,820
22,female,1,own,little,little,806,15,business,709
24,male,1,rent,little,little,1546,24,radio/TV,699
26,male,2,own,little,little,8229,36,car,505
35,male,2,own,moderate,None,4151,24,furniture/equipment,580
22,male,2,free,little,little,3149,24,furniture/equipment,709
